timestamp,file_path,method_name,new_method_name,attempt,call_type,prompt_tokens,completion_tokens,total_tokens,latency_ms,success
2026-04-19T11:50:58,in/test/TestClass45240.java.jsonl,func_1,shouldNotSetAdConfiguration,1,rename,479,41,520,45657.2,True
2026-04-19T11:59:27,in/test/TestClass56449.java.jsonl,func_1,addLayer,1,rename,471,44,515,6898.4,True
2026-04-19T12:08:25,in/test/TestClass43129.java.jsonl,func_1,transpose,1,rename,601,50,651,8081.0,True
2026-04-19T12:16:42,in/test/TestClass29725.java.jsonl,func_1,testOnEvent,1,rename,608,54,662,8832.1,True
2026-04-19T12:24:34,in/test/TestClass56972.java.jsonl,func_1,testParentLastPluginClassLoader,1,rename,436,33,469,4807.8,True
2026-04-19T12:32:31,in/test/TestClass73575.java.jsonl,func_1,testFromJsonV2,1,rename,456,33,489,4806.4,True
2026-04-19T12:42:16,in/test/TestClass60619.java.jsonl,func_1,testSetExtraLogInfo,1,rename,486,43,529,6280.7,True
2026-04-19T12:52:17,in/test/TestClass75952.java.jsonl,func_1,callThrowsRuntimeExceptionWithCause,1,rename,543,59,602,8049.0,True
2026-04-19T13:04:58,in/test/TestClass16130.java.jsonl,func_1,getCorrespondingHolidays,1,rename,685,85,770,13401.1,True
2026-04-19T13:13:06,in/test/TestClass31304.java.jsonl,func_1,newCDKAtom,1,rename,469,31,500,4577.2,True
