timestamp,file_path,method_name,new_method_name,attempt,call_type,prompt_tokens,completion_tokens,total_tokens,latency_ms,success
2026-05-08T17:45:56,in/test/TestClass8235.java.jsonl,func_1,toMapKey,1,rename,559,29,588,68459.2,True
2026-05-08T17:52:04,in/test/TestClass24619.java.jsonl,func_1,testEscape,1,rename,433,19,452,3644.8,True
2026-05-08T17:55:05,in/test/TestClass45720.java.jsonl,func_1,testBuildConfigWithEmptySources,1,rename,494,52,546,5962.6,True
2026-05-08T17:58:06,in/test/TestClass71980.java.jsonl,func_1,testAddObject,1,rename,501,37,538,3902.4,True
2026-05-08T18:00:49,in/test/TestClass22301.java.jsonl,func_1,getConfigurationEntry,1,rename,543,64,607,8566.3,True
2026-05-08T18:03:55,in/test/TestClass46195.java.jsonl,func_1,testCreateSequenceHeader,1,rename,497,57,554,7719.9,True
2026-05-08T18:06:37,in/test/TestClass15201.java.jsonl,func_1,testCompare,1,rename,523,46,569,6388.0,True
2026-05-08T18:09:29,in/test/TestClass55091.java.jsonl,func_1,testSerializeDeserialize,1,rename,487,45,532,6800.2,True
2026-05-08T18:12:27,in/test/TestClass5272.java.jsonl,func_1,testPrependTo,1,rename,459,40,499,6511.2,True
2026-05-08T18:15:26,in/test/TestClass44152.java.jsonl,func_1,run,1,rename,451,25,476,3346.4,True
2026-05-08T18:18:16,in/test/TestClass47446.java.jsonl,func_1,testConstructor,1,rename,440,27,467,4388.4,True
2026-05-08T18:21:40,in/test/TestClass29734.java.jsonl,func_1,testAsyncGroup,1,rename,808,89,897,14798.9,True
2026-05-08T18:24:37,in/test/TestClass46322.java.jsonl,func_1,shouldCreateNewSequence,1,rename,631,49,680,8671.9,True
2026-05-08T18:28:24,in/test/TestClass50694.java.jsonl,func_1,login,1,rename,494,34,528,6177.6,True
2026-05-08T18:31:36,in/test/TestClass280.java.jsonl,func_1,testGreaterThan,1,rename,444,35,479,5049.0,True
2026-05-08T18:34:34,in/test/TestClass1404.java.jsonl,func_1,testGetSearchResult,1,rename,551,56,607,8450.4,True
2026-05-08T18:37:50,in/test/TestClass40807.java.jsonl,func_1,testReset,1,rename,541,28,569,4063.6,True
2026-05-08T18:40:58,in/test/TestClass75731.java.jsonl,func_1,isNull,1,rename,437,17,454,2676.7,True
2026-05-08T18:44:01,in/test/TestClass11553.java.jsonl,func_1,testValidatePes,1,rename,482,37,519,5929.2,True
2026-05-08T18:47:56,in/test/TestClass54038.java.jsonl,func_1,testGenerate,1,rename,504,37,541,5051.8,True
2026-05-08T18:51:09,in/test/TestClass37093.java.jsonl,func_1,testUpdateCategory,1,rename,519,48,567,6850.2,True
2026-05-08T18:54:08,in/test/TestClass77515.java.jsonl,func_1,testAppendRelevantOutlineToWithPageDestWithNumberInsteadOfRefs,1,rename,537,67,604,11354.9,True
2026-05-08T18:57:39,in/test/TestClass9409.java.jsonl,func_1,get,1,rename,496,43,539,6000.2,True
2026-05-08T19:00:39,in/test/TestClass13159.java.jsonl,func_1,sayHello,1,rename,448,27,475,4023.1,True
2026-05-08T19:03:50,in/test/TestClass46951.java.jsonl,func_1,shouldReturnFalseWhenXQueryReturnsFalse,1,rename,474,39,513,6857.1,True
2026-05-08T19:07:10,in/test/TestClass12100.java.jsonl,func_1,testGroupedInfluxDbHttpSender,1,rename,611,47,658,8339.0,True
2026-05-08T19:10:35,in/test/TestClass9158.java.jsonl,func_1,testOnTextMessage,1,rename,502,44,546,9833.9,True
2026-05-08T19:14:12,in/test/TestClass30027.java.jsonl,func_1,testSetConnectionParametersForPostWithBody,1,rename,462,39,501,4874.0,True
2026-05-08T19:17:37,in/test/TestClass65931.java.jsonl,func_1,testSetPrimaryKey,1,rename,586,19,605,3755.5,True
2026-05-08T19:20:43,in/test/TestClass74087.java.jsonl,func_1,shouldRemoveAllFeatures,1,rename,443,20,463,3144.5,True
2026-05-08T19:23:50,in/test/TestClass75184.java.jsonl,func_1,testNewArray,1,rename,510,38,548,4842.3,True
2026-05-08T19:27:00,in/test/TestClass10826.java.jsonl,func_1,testSelectBooleanOptions,1,rename,614,66,680,11042.1,True
2026-05-08T19:30:04,in/test/TestClass31888.java.jsonl,func_1,testGetRawFingerprint,1,rename,560,58,618,8133.3,True
2026-05-08T19:33:14,in/test/TestClass73044.java.jsonl,func_1,testCompare,1,rename,593,67,660,16857.3,True
2026-05-08T19:36:44,in/test/TestClass18794.java.jsonl,func_1,convert,1,rename,437,25,462,5599.1,True
2026-05-08T19:40:44,in/test/TestClass33790.java.jsonl,func_1,testDeleteExpiredFileByTime,1,rename,720,79,799,13004.3,True
2026-05-08T19:44:40,in/test/TestClass13046.java.jsonl,func_1,testCheckAllowed,1,rename,530,62,592,12532.6,True
2026-05-08T19:48:58,in/test/TestClass39058.java.jsonl,func_1,testGetConnection,1,rename,577,69,646,11034.7,True
2026-05-08T19:52:28,in/test/TestClass69357.java.jsonl,func_1,getMaxTemp,1,rename,528,64,592,8395.8,True
2026-05-08T19:55:40,in/test/TestClass27655.java.jsonl,func_1,testReady,1,rename,458,28,486,6180.1,True
2026-05-08T19:58:41,in/test/TestClass13270.java.jsonl,func_1,testGetApplicationDataDictionary,1,rename,457,21,478,3612.2,True
2026-05-08T20:02:08,in/test/TestClass48751.java.jsonl,func_1,join,1,rename,452,33,485,12342.7,True
2026-05-08T20:05:36,in/test/TestClass3285.java.jsonl,func_1,testP3,1,rename,716,63,779,9263.4,True
2026-05-08T20:08:50,in/test/TestClass16329.java.jsonl,func_1,testAdd,1,rename,475,46,521,5627.0,True
2026-05-08T20:11:46,in/test/TestClass67337.java.jsonl,func_1,testReadMarkerIncomplete,1,rename,626,64,690,7211.4,True
2026-05-08T20:15:07,in/test/TestClass25504.java.jsonl,func_1,testExecuteRefreshToken,1,rename,683,95,778,15730.2,True
2026-05-08T20:18:04,in/test/TestClass46973.java.jsonl,func_1,testIsRequestLoggingOn,1,rename,462,21,483,2858.4,True
2026-05-08T20:21:24,in/test/TestClass41560.java.jsonl,func_1,findProject_shouldThrowExceptionWhenProjectNotFound,1,rename,457,39,496,4168.6,True
2026-05-08T20:24:48,in/test/TestClass2032.java.jsonl,func_1,testEncode,1,rename,618,35,653,6472.6,True
2026-05-08T20:28:26,in/test/TestClass10820.java.jsonl,func_1,testNextVersion,1,rename,596,53,649,12408.1,True
2026-05-08T20:31:50,in/test/TestClass76709.java.jsonl,func_1,testFindVirtualProvider,1,rename,579,50,629,6439.3,True
2026-05-08T20:34:54,in/test/TestClass69394.java.jsonl,func_1,testBinarySerialization,1,rename,702,79,781,9661.9,True
2026-05-08T20:37:43,in/test/TestClass53206.java.jsonl,func_1,testCreateFromRelease,1,rename,529,48,577,5614.4,True
2026-05-08T20:40:38,in/test/TestClass60339.java.jsonl,func_1,testLogSessionIdIsNull,1,rename,556,60,616,9371.3,True
2026-05-08T20:44:09,in/test/TestClass4815.java.jsonl,func_1,testEciesP256HkdfHmacSha256Aes128GcmTemplate,1,rename,724,91,815,16391.0,True
2026-05-08T20:47:40,in/test/TestClass40145.java.jsonl,func_1,testWriteString,1,rename,540,19,559,2917.1,True
2026-05-08T20:50:42,in/test/TestClass31291.java.jsonl,func_1,testSimplifyMolecularFormula,1,rename,466,45,511,7532.7,True
2026-05-08T20:53:54,in/test/TestClass72263.java.jsonl,func_1,testUserExists,1,rename,472,19,491,2900.6,True
2026-05-08T20:56:40,in/test/TestClass14053.java.jsonl,func_1,testGetCartOfUser,1,rename,537,21,558,2830.5,True
2026-05-08T20:59:39,in/test/TestClass30767.java.jsonl,func_1,toBeamEdgeWithUnsetBond,1,rename,541,65,606,10480.8,True
2026-05-08T21:02:44,in/test/TestClass34889.java.jsonl,func_1,testToObservable,1,rename,731,79,810,15621.2,True
2026-05-08T21:05:41,in/test/TestClass65594.java.jsonl,func_1,testExecuteStatementsFromDirectory,1,rename,460,33,493,4461.4,True
2026-05-08T21:08:38,in/test/TestClass61739.java.jsonl,func_1,shouldThrowExceptionWhenEqualFilterIsNotComplete,1,rename,455,25,480,3471.7,True
2026-05-08T21:11:53,in/test/TestClass75947.java.jsonl,func_1,toJsonReturnsExpectedJsonObject,1,rename,463,40,503,4883.3,True
2026-05-08T21:15:01,in/test/TestClass9239.java.jsonl,func_1,testWithPluginFilter,1,rename,469,21,490,2963.0,True
2026-05-08T21:18:04,in/test/TestClass55807.java.jsonl,func_1,testDelete,1,rename,441,18,459,3830.9,True
2026-05-08T21:21:08,in/test/TestClass42038.java.jsonl,func_1,testRun,1,rename,459,29,488,4989.6,True
2026-05-08T21:24:18,in/test/TestClass36753.java.jsonl,func_1,writer,1,rename,487,26,513,3689.0,True
2026-05-08T21:27:29,in/test/TestClass61839.java.jsonl,func_1,shouldQueryByValue,1,rename,520,39,559,9982.6,True
2026-05-08T21:30:40,in/test/TestClass61563.java.jsonl,func_1,testRoute,1,rename,728,82,810,14114.7,True
2026-05-08T21:33:49,in/test/TestClass70472.java.jsonl,func_1,testFixme,1,rename,598,36,634,3799.4,True
2026-05-08T21:37:05,in/test/TestClass35878.java.jsonl,func_1,dispose,1,rename,483,33,516,5690.5,True
2026-05-08T21:40:37,in/test/TestClass72159.java.jsonl,func_1,testUpdateCommitWithNoAdditions,1,rename,494,45,539,9276.8,True
2026-05-08T21:43:53,in/test/TestClass21387.java.jsonl,func_1,testValidateDownloadedS3FilesWithExtraFile,1,rename,615,63,678,10381.7,True
2026-05-08T21:46:51,in/test/TestClass70680.java.jsonl,func_1,getNewZipDestination,1,rename,441,20,461,3228.2,True
2026-05-08T21:50:07,in/test/TestClass66990.java.jsonl,func_1,testIsReadOnly,1,rename,448,29,477,4909.4,True
2026-05-08T21:53:14,in/test/TestClass16795.java.jsonl,func_1,testGetEntityClassFromNodeLabels,1,rename,589,73,662,10821.3,True
