timestamp,file_path,method_name,new_method_name,attempt,call_type,prompt_tokens,completion_tokens,total_tokens,latency_ms,success
2026-04-07T12:38:05,in/test/TestClass0.java.jsonl,func_1,testShouldReturnFirstDayOfYear,1,rename,447,30,477,46779.3,True
2026-04-07T12:46:26,in/test/TestClass1.java.jsonl,func_1,testShouldReturnYearEndDate,1,rename,461,29,490,5578.0,True
2026-04-07T12:54:16,in/test/TestClass100.java.jsonl,func_1,testShouldReturnIdentifierWhenPolicyIsOptionalWithCredentialIdList,1,rename,443,33,476,6450.2,True
2026-04-07T13:06:55,in/test/TestClass1000.java.jsonl,func_1,testShouldReturnLeftWhenFirstListIsEmpty,1,rename,478,34,512,5204.7,True
2026-04-07T13:16:01,in/test/TestClass10000.java.jsonl,func_1,testShouldReturnStringRepresentationOfMap,1,rename,484,23,507,4599.8,True
2026-04-07T13:24:53,in/test/TestClass10002.java.jsonl,func_1,testShouldReturnEmptyStringWhenMapIsEmpty,1,rename,424,25,449,4411.0,True
2026-04-07T13:33:00,in/test/TestClass10003.java.jsonl,func_1,testShouldReturnExpectedStringWhenInputStreamIsProvided,1,rename,454,45,499,8564.3,True
2026-04-07T13:41:02,in/test/TestClass10004.java.jsonl,func_1,testComputeBoundWithPositiveValues,1,rename,603,23,626,4918.4,True
2026-04-07T13:45:45,in/test/TestClass10005.java.jsonl,func_1,testComputeBoundWithPositiveAndNegativeValues,1,rename,824,25,849,5139.2,True
2026-04-07T13:53:57,in/test/TestClass10006.java.jsonl,func_1,testComputeBoundWithPositiveValues,1,rename,635,23,658,4351.5,True
